CustomerID,Recency,Frequency,Monetary,Month,R_Score,F_Score,M_Score,RFM_Score,Segment
12347.0,31,7,5408.5,2011-12-01,4,4,5,445,Big Spenders
12348.0,67,5,2019.3999999999999,2011-12-01,3,3,4,334,Others
12349.0,10,5,4404.54,2011-12-01,5,3,5,535,Loyal Customers
12350.0,302,1,334.40000000000003,2011-12-01,2,1,2,212,Others
12351.0,367,1,300.93,2011-12-01,2,1,2,212,Others
12352.0,28,13,1889.21,2011-12-01,4,5,4,454,Frequent Buyers
12353.0,196,2,406.76,2011-12-01,2,2,2,222,Others
12354.0,224,1,1079.4,2011-12-01,2,1,3,213,Others
12355.0,206,2,947.61,2011-12-01,2,2,3,223,Others
12356.0,14,6,6373.68,2011-12-01,5,4,5,545,Loyal Customers
12357.0,25,3,18287.66,2011-12-01,4,2,5,425,Big Spenders
12358.0,142,4,3203.8700000000003,2011-12-01,3,3,5,335,Big Spenders
12359.0,49,13,8806.14,2011-12-01,4,5,5,455,Frequent Buyers
12360.0,44,9,4212.89,2011-12-01,4,4,5,445,Big Spenders
12361.0,279,4,511.25,2011-12-01,2,3,2,232,Others
12362.0,3,13,4755.54,2011-12-01,5,5,5,555,Champions
12363.0,101,2,552.0,2011-12-01,3,2,2,322,Others
12364.0,32,3,1002.78,2011-12-01,4,2,3,423,Others
12365.0,283,3,320.69,2011-12-01,2,2,2,222,Others
12366.0,625,1,500.24,2011-12-01,1,1,2,112,Hibernating
12368.0,620,1,917.7,2011-12-01,1,1,3,113,Hibernating
12369.0,405,3,1791.15,2011-12-01,1,2,4,124,Others
12370.0,43,7,4320.31,2011-12-01,4,4,5,445,Big Spenders
12371.0,36,5,4067.38,2011-12-01,4,3,5,435,Big Spenders
12372.0,63,3,1298.04,2011-12-01,3,2,4,324,Others
12373.0,303,3,1127.65,2011-12-01,2,2,3,223,Others
12374.0,17,4,2989.2200000000003,2011-12-01,4,3,5,435,Big Spenders
12375.0,2,2,457.5,2011-12-01,5,2,2,522,Loyal Customers
12376.0,381,2,503.15,2011-12-01,2,2,2,222,Others
12377.0,307,4,3426.32,2011-12-01,2,3,5,235,Big Spenders
12378.0,121,2,5416.32,2011-12-01,3,2,5,325,Big Spenders
12379.0,73,5,1618.27,2011-12-01,3,3,4,334,Others
12380.0,13,15,7888.0,2011-12-01,5,5,5,555,Champions
12381.0,25,5,1656.95,2011-12-01,4,3,4,434,Others
12383.0,176,6,1839.31,2011-12-01,3,4,4,344,Others
12384.0,20,3,566.16,2011-12-01,4,2,2,422,Others
12385.0,371,2,1923.4,2011-12-01,2,2,4,224,Others
12386.0,329,2,660.8000000000001,2011-12-01,2,2,3,223,Others
12387.0,407,1,143.94,2011-12-01,1,1,1,111,Hibernating
12388.0,7,8,3901.11,2011-12-01,5,4,5,545,Loyal Customers
12389.0,394,3,1433.33,2011-12-01,2,2,4,224,Others
12390.0,71,1,549.84,2011-12-01,3,1,2,312,Others
12391.0,13,7,2747.82,2011-12-01,5,4,4,544,Loyal Customers
12392.0,583,1,234.75000000000003,2011-12-01,1,1,1,111,Hibernating
12393.0,64,7,2376.75,2011-12-01,3,4,4,344,Others
12394.0,55,2,1272.48,2011-12-01,4,2,4,424,Others
12395.0,7,18,5046.92,2011-12-01,5,5,5,555,Champions
12396.0,666,1,931.4300000000001,2011-12-01,1,1,3,113,Hibernating
12397.0,27,2,2409.9,2011-12-01,4,2,4,424,Others
12398.0,37,1,1635.6599999999999,2011-12-01,4,1,4,414,Others
12399.0,111,7,1962.3,2011-12-01,3,4,4,344,Others
12400.0,406,1,205.25,2011-12-01,1,1,1,111,Hibernating
12401.0,295,1,84.3,2011-12-01,2,1,1,211,At Risk
12402.0,315,7,1244.15,2011-12-01,2,4,4,244,Others
12403.0,41,3,1001.36,2011-12-01,4,2,3,423,Others
12404.0,674,1,63.24,2011-12-01,1,1,1,111,Hibernating
12405.0,140,1,1710.39,2011-12-01,3,1,4,314,Others
12406.0,14,7,6072.21,2011-12-01,5,4,5,545,Loyal Customers
12407.0,41,5,1708.12,2011-12-01,4,3,4,434,Others
12408.0,24,14,4279.64,2011-12-01,4,5,5,455,Frequent Buyers
12409.0,70,13,23090.47,2011-12-01,3,5,5,355,Frequent Buyers
12410.0,293,4,1001.46,2011-12-01,2,3,3,233,Others
12411.0,401,1,346.9,2011-12-01,1,1,2,112,Hibernating
12412.0,66,8,2581.03,2011-12-01,3,4,4,344,Others
12413.0,58,6,935.5,2011-12-01,3,4,3,343,Others
12414.0,209,8,692.4100000000001,2011-12-01,2,4,3,243,Others
12415.0,16,33,143269.29,2011-12-01,5,5,5,555,Champions
12416.0,648,1,202.56,2011-12-01,1,1,1,111,Hibernating
12417.0,21,26,6338.4800000000005,2011-12-01,4,5,5,455,Frequent Buyers
12418.0,104,5,2016.95,2011-12-01,3,3,4,334,Others
12419.0,377,2,503.01,2011-12-01,2,2,2,222,Others
